company,sentiment_score
ICICI Prudential Life Insurance Company Ltd,0.13
G N A Axles Ltd,0.19
L&T Technology Services Ltd,0.04
RBL Bank Ltd,0.23
S P Apparels Ltd,0.16
Dilip Buildcon Ltd,0.24
Advanced Enzyme Technologies Ltd,0.09
L&T Infotech Ltd,0.04
Quess Corp Ltd,0.19
Mahanagar Gas Limited,0.01
Parag Milk Foods Ltd,0.29
Ujjivan Financial Services Ltd,0.08
Thyrocare Technologies Ltd,0.24
Equitas Holdings Limited,0.13
Infibeam Incorporation Ltd,0.21
Bharat Wire Ropes Ltd,0.25
Healthcare Global Enterprises Ltd,-0.04
Quick Heal Technologies Ltd,0.21
TeamLease Services Ltd,0.1
Precision Camshafts Ltd,0.22
Narayana Hrudayalaya Ltd,0.13
Dr. Lal PathLabs Limited,0.17
Alkem Laboratories Limited,-0.09
S H Kelkar & Company Ltd,0.04
InterGlobe Aviation Ltd,0.14
Coffee Day Enterprises Ltd,0.16
Prabhat Dairy Limited,0.05
Sadbhav Infrastructure Project Limited,0.04
Shree Pushkar Chemicals and Fertilisers Ltd,0.06
Pennar Engineered Building Systems Ltd,0.11
Navkar Corporation Limited,0.05
Power Mech Projects Ltd,0.22
Syngene International Ltd,0.01
Manpasand Beverages Ltd,-0.3
PNC Infratech Limited,0.3
UFO Moviez Ltd,0.08
MEP Infrastructure Developers Ltd,-0.06
VRL Logistics Ltd,0.31
Inox Wind Limited,0.49
Adlabs Entertainment Ltd,0.15
Ortel Communications Ltd,-0.01
